	Descricao
1	MANG PVC 1/2 10M JARD SUPERFLEX VD PLAST
2	MANGUE FLEX P/JARDINA G TOP TRANC VD 15M
3	MANGUEIR JARDIM PAREDE DUPLA 20M VD KALA
4	MANGUE FLEX P/JARDINA G TOP TRANC VD 30M
5	MANGUE FLEX P/ JARDINAGEM TOPEX10M VD
6	MANGUE FLEX P/ JARDINAGEM TOPEX 15M VD
7	MANGUE FLEX P/ JARDINAGEM TOPEX 20M VD
8	MANGUE FLEX P/ JARDINAGEM TOPEX 30M VD
9	MANGUE FLEX P/JARDINAG TOPEX 1/2 - MT
10	ELETRODUTO CORRUGADO AM ELETROLUX 32MM
11	ELETROD CORRUG 20X50M COBRAFLEX GRANPL#
12	MARTELETE LOCACAO DIÁRIA#
14	TELHA OND. BRASILIT 6MM 3,66X1,10M CRFS
15	TELHA TROPICAL 5MM 2,13X1,10M CRFS
16	TELHA VOGATEX 4MM 2,13X0,50M CRFS
17	TELHA ONDULADA ET 6MM 2,13X1,10M CRFS
18	TELHA ONDULADA ET 6MM 2,44X1,10M CRFS
19	TELHA ONDULADA ET 6MM 3,05X1,10M CRFS
20	CIMENTOMIX  1KG
21	GESSOMIX  1KG
22	KIT BACIA+CX ACOPL+ASSENT LIKE BC CELITE
23	CONJ. BACIA C/CAIXA P 3/6L PARATI LOGASA
24	BACIA CONVENCIONAL WIND BR DIMAR
25	FITA CREPE NORTON UG SANFONA 18MMX50M
26	FITA CREPE NORTON UG SANFONA 48MMX50M
27	FITA CREPE NORTON UG SANFONA 24MMX50M
28	MASCARA DESCART PFF1-V DOBRA AZ W-MAX
29	RASPADOR DE REJUNTE NORTON
30	FITA DEMARC SOLO NORTON AMARELA 48MMX14M
31	LIXA NORTON FERRO K246 C36
32	LIXA NORTON FERR K246 C100
33	LIXA NORTON FERR K246 C80
34	LIXA NORTON FERRO K246 C120
35	LIXA NORTON FERRO K246 C150
36	LIXA NORTON MICROF T4012500
37	SUPERCAL BRANCO HIDRACOR 05 KG
38	TORNEIRA 1158 1/2''3/4 C-33 18 CM VEDANT
39	TORNEIRA 1159 1/2 E 3/4 C-33 22 CM TALIT
40	TORNEIRA 1428 1/2 E 3/4 C-23 VEDANTE
41	TORNEIRA 1194 C40 TAMP CRO C/CANOPLA VED
42	TORNEIRA 1130 1/2X3/4 AMARELA TALITA
43	TORNEIRA 1130 1/2X3/4 CROMADA TALITA
44	TORNEIRA 1194 LAVATORIO TALITAMATIC
45	TORNEIRA 1193 LUXO C-23 VEDANTE TALITA
